trial,gameId,words,target,distractor
6,8PWtSpgpocS3Jvzph,someone’s like walking while sliding,swim,walk
6,9uKTejKqe3TNXkfAW,a person trying to fly,jump,swim
6,A7RxNsfTJqTwfBejN,a guy,hold,jump
6,Ce897yATiBxGr92Xo,a girl,hold,jump
6,D5CPASpy5Aj3aZNtS,a person dancing,jump,walk
6,SowubDEr7fQNBP6te,a flying person,jump,walk
6,X3KGngsmofwhPuzW2,"a lego, not a person without any arms",walk,hold
6,XWpuLuSnNumcHxf7w,a person,walk,swim
6,Yrc2wiX7ZxZFS2wX6,a human,walk,swim
6,baPLK5TnMYMSDvksA,another man,walk,hold
6,bcszyeDMyWZqFeMBh,a walking person,walk,jump
6,euCvEekqCAQC9sfav,A diamond head and a backwards triangle butt and triangle feet and a backwards triangle head,jump,hold
6,gF7PeenLLsSHsF4CG,a boat,swim,hold
6,hueqkSoqSjYjcD9En,a guy with a triangle and with two feet and with a square,jump,walk
6,qL2AxZnRykJWLDA7H,a sad face,walk,hold
6,xCqhPo6f65u6PJhy3,a person,hold,jump
6,ymmWkP9LexXqZPujp,a person,walk,swim
7,5T8wESy34MKBRkBJr,a guy with a paper thing,hold,jump
7,5WPekHjNG898YuMXe,someone dying,swim,jump
7,8PWtSpgpocS3Jvzph,a spider,jump,hold
7,9uKTejKqe3TNXkfAW,whale,swim,hold
7,A7RxNsfTJqTwfBejN,a person walking,walk,jump
7,Ce897yATiBxGr92Xo,a jumping man,jump,swim
7,D5CPASpy5Aj3aZNtS,a car,swim,hold
7,SowubDEr7fQNBP6te,on the floor and it has a triangle,swim,hold
7,X3KGngsmofwhPuzW2,an angel,jump,walk
7,XWpuLuSnNumcHxf7w,a cowboy,jump,hold
7,Yrc2wiX7ZxZFS2wX6,a boat,swim,hold
7,baPLK5TnMYMSDvksA,"a square that’s on the mouth, a man, falling",swim,hold
7,bcszyeDMyWZqFeMBh,a person with this cube,hold,walk
7,euCvEekqCAQC9sfav,a car,swim,hold
7,gF7PeenLLsSHsF4CG,a superhero,jump,walk
7,hueqkSoqSjYjcD9En,a man with one foot and a line and a square and a triangle.,hold,jump
7,kduAREQdY39j2SgoC,a diver,swim,hold
7,qL2AxZnRykJWLDA7H,a silly person,hold,walk
7,xCqhPo6f65u6PJhy3,a guy jumping in the air,jump,hold
7,ymmWkP9LexXqZPujp,a dog,swim,jump
8,5T8wESy34MKBRkBJr,a box with a boat,swim,jump
8,5WPekHjNG898YuMXe,"a flamingo, a triangle and a person holding it with one leg",hold,swim
8,8PWtSpgpocS3Jvzph,a person,walk,swim
8,9uKTejKqe3TNXkfAW,a person holding something,hold,swim
8,A7RxNsfTJqTwfBejN,a crocodile,swim,jump
8,Ce897yATiBxGr92Xo,a falling man,swim,hold
8,D5CPASpy5Aj3aZNtS,a person,hold,jump
8,SowubDEr7fQNBP6te,a person sad walking,walk,swim
8,X3KGngsmofwhPuzW2,a person holding up a plate,hold,swim
8,XWpuLuSnNumcHxf7w,a whale,swim,jump
8,Yrc2wiX7ZxZFS2wX6,a boat,jump,swim
8,baPLK5TnMYMSDvksA,an airplane,jump,swim
8,bcszyeDMyWZqFeMBh,a lying person,swim,jump
8,euCvEekqCAQC9sfav,"a head down square, a triangle feet and one rectangle and one triangle and then a square head.",walk,hold
8,gF7PeenLLsSHsF4CG,a person,walk,hold
8,hueqkSoqSjYjcD9En,a boat,swim,walk
8,kduAREQdY39j2SgoC,a kid,walk,jump
8,qL2AxZnRykJWLDA7H,a person,jump,hold
8,ymmWkP9LexXqZPujp,"a person that can fly, a bird that has feet",jump,hold
9,5T8wESy34MKBRkBJr,a person looking down,walk,hold
9,5WPekHjNG898YuMXe,"A person walking, a person walking, the person’s head is square",walk,jump
9,8PWtSpgpocS3Jvzph,someone’s holding a plate,hold,jump
9,9uKTejKqe3TNXkfAW,people walking,walk,jump
9,A7RxNsfTJqTwfBejN,a person jumping from a pole all the way down to the ground,jump,walk
9,Ce897yATiBxGr92Xo,a walking man,walk,swim
9,D5CPASpy5Aj3aZNtS,a person walking,walk,hold
9,SowubDEr7fQNBP6te,a person holding a triangle,hold,walk
9,X3KGngsmofwhPuzW2,someone flying a plane without a cover,swim,jump
9,XWpuLuSnNumcHxf7w,a person,hold,walk
9,Yrc2wiX7ZxZFS2wX6,a statue,hold,swim
9,baPLK5TnMYMSDvksA,"a man falling, a man holding something, the man is holding food",hold,swim
9,bcszyeDMyWZqFeMBh,a flying person,jump,hold
9,euCvEekqCAQC9sfav,somebody holding a triangle,hold,jump
9,gF7PeenLLsSHsF4CG,a person doing something,hold,jump
9,hueqkSoqSjYjcD9En,"a guy with two foot and a line and one square, a man with two foot and a tummy shaped as a diamond and a square head",walk,hold
9,kduAREQdY39j2SgoC,a flying person,jump,swim
9,qL2AxZnRykJWLDA7H,"a plane, a whale",swim,hold
9,xCqhPo6f65u6PJhy3,a person walking,walk,swim
9,ymmWkP9LexXqZPujp,"a person that has something in front to eat, in a bowl",hold,jump
10,5T8wESy34MKBRkBJr,a walk,walk,jump
10,5WPekHjNG898YuMXe,someone with a triangle and one leg,hold,swim
10,8PWtSpgpocS3Jvzph,someone has two hands and a diamond head,walk,hold
10,9uKTejKqe3TNXkfAW,a person trying to fly,jump,walk
10,A7RxNsfTJqTwfBejN,a person sitting,jump,walk
10,Ce897yATiBxGr92Xo,"a walking man, not the jumping man",walk,jump
10,D5CPASpy5Aj3aZNtS,a person dancing,jump,hold
10,SowubDEr7fQNBP6te,sad walking,walk,hold
10,X3KGngsmofwhPuzW2,an angel,jump,walk
10,XWpuLuSnNumcHxf7w,a person,walk,jump
10,Yrc2wiX7ZxZFS2wX6,a human,walk,swim
10,baPLK5TnMYMSDvksA,another man,hold,swim
10,bcszyeDMyWZqFeMBh,a person standing up with a cube,hold,swim
10,euCvEekqCAQC9sfav,a race car,swim,walk
10,gF7PeenLLsSHsF4CG,a person doing something,walk,jump
10,hueqkSoqSjYjcD9En,one guy with one foot and a triangle and a square,hold,walk
10,kduAREQdY39j2SgoC,"a kid, a big kid",walk,jump
10,qL2AxZnRykJWLDA7H,a person,hold,jump
10,xCqhPo6f65u6PJhy3,a person lying on the ground,swim,jump
10,ymmWkP9LexXqZPujp,a person that has something to eat in his hands,hold,swim
11,5T8wESy34MKBRkBJr,a boat,swim,jump
11,5WPekHjNG898YuMXe,a person walking with a square head,walk,swim
11,8PWtSpgpocS3Jvzph,a spider,jump,swim
11,9uKTejKqe3TNXkfAW,a person holding something,hold,jump
11,A7RxNsfTJqTwfBejN,a crocodile,swim,jump
11,Ce897yATiBxGr92Xo,a jet plane,swim,hold
11,D5CPASpy5Aj3aZNtS,a car,swim,jump
11,SowubDEr7fQNBP6te,a triangle that’s on the ground,swim,hold
11,X3KGngsmofwhPuzW2,a person that kind of looks sad without any arms walking away from,walk,hold
11,XWpuLuSnNumcHxf7w,"a boat, people standing in the boat",swim,walk
11,Yrc2wiX7ZxZFS2wX6,a butterfly,jump,swim
11,baPLK5TnMYMSDvksA,a man falling down,swim,walk
11,bcszyeDMyWZqFeMBh,a laying person,swim,walk
11,euCvEekqCAQC9sfav,a human that’s dancing,jump,walk
11,gF7PeenLLsSHsF4CG,a superhero,jump,hold
11,hueqkSoqSjYjcD9En,a man with two foot and a diamond shaped tummy and a square head.,walk,swim
11,kduAREQdY39j2SgoC,a flying person,jump,walk
11,qL2AxZnRykJWLDA7H,a whale,swim,jump
11,xCqhPo6f65u6PJhy3,a person holding a tray,hold,walk
11,ymmWkP9LexXqZPujp,a dead dog,swim,walk
12,5T8wESy34MKBRkBJr,"a dog, a camera",hold,swim
12,5WPekHjNG898YuMXe,someone that looks like dying,swim,jump
12,8PWtSpgpocS3Jvzph,"a gem with a triangle head, zero feet",hold,jump
12,9uKTejKqe3TNXkfAW,a whale swimming,swim,hold
12,A7RxNsfTJqTwfBejN,a guy holding a triangle,hold,walk
12,Ce897yATiBxGr92Xo,a girl,hold,swim
12,D5CPASpy5Aj3aZNtS,a person walking,walk,swim
12,SowubDEr7fQNBP6te,"a flying person, a butterfly",jump,hold
12,X3KGngsmofwhPuzW2,a person that’s flying a plane,swim,hold
12,XWpuLuSnNumcHxf7w,a person,jump,hold
12,Yrc2wiX7ZxZFS2wX6,a airplane,swim,hold
12,baPLK5TnMYMSDvksA,a man,walk,swim
12,bcszyeDMyWZqFeMBh,a walking person,walk,jump
12,euCvEekqCAQC9sfav,"a triangle leg, a rectangle, and a diamond body and a square head",walk,jump
12,gF7PeenLLsSHsF4CG,a boat,swim,jump
12,hueqkSoqSjYjcD9En,two feet of a guy with one square tummy and one triangle tummy and one square,swim,jump
12,kduAREQdY39j2SgoC,a server,hold,jump
12,qL2AxZnRykJWLDA7H,a person,walk,hold
12,xCqhPo6f65u6PJhy3,somebody jumping,jump,swim
12,ymmWkP9LexXqZPujp,a flying person that has a jetpack,jump,swim
13,5T8wESy34MKBRkBJr,a person jumping,jump,walk
13,5WPekHjNG898YuMXe,a person jumping,jump,hold
13,8PWtSpgpocS3Jvzph,a slider,swim,hold
13,9uKTejKqe3TNXkfAW,a people walking,walk,swim
13,A7RxNsfTJqTwfBejN,a guy walking,walk,swim
13,Ce897yATiBxGr92Xo,a jumping man,jump,swim
13,D5CPASpy5Aj3aZNtS,a person holding a pot,hold,walk
13,SowubDEr7fQNBP6te,a person holding a triangle,hold,swim
13,X3KGngsmofwhPuzW2,someone building a funnel,hold,jump
13,XWpuLuSnNumcHxf7w,a person,hold,jump
13,Yrc2wiX7ZxZFS2wX6,a person,hold,jump
13,baPLK5TnMYMSDvksA,a man,jump,swim
13,bcszyeDMyWZqFeMBh,a flying person,jump,walk
13,euCvEekqCAQC9sfav,someone holding a triangle in a cup,hold,jump
13,gF7PeenLLsSHsF4CG,a person doing something,hold,walk
13,hueqkSoqSjYjcD9En,a man with two feet and two triangle wings and one square in the back shaped like a jet,jump,walk
13,kduAREQdY39j2SgoC,a diver,swim,walk
13,xCqhPo6f65u6PJhy3,a person walking,walk,hold
13,ymmWkP9LexXqZPujp,"a person, looking down and walking",walk,swim
